AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing,Status
700000010433,Carrick-a-Rede Car Park,Coleraine,55.23876798,-6.347394,305178,444777,active
700000010434,Lisnagunagh,Coleraine,55.22273236,-6.46567017,297694,442820,active
700000010435,Whitepark Road Carrick A Rede,Coleraine,55.23600879,-6.33540369,305948,444488,active
700000010436,Christies Corner,Coleraine,55.2203818,-6.31217044,307468,442784,active
700000010437,Kinbane Castle,Coleraine,55.21769359,-6.29072554,308840,442518,active
700000010438,White Park Road,Coleraine,55.21472785,-6.28296514,309342,442200,active
700000010439,Carnduff Cottages,Coleraine,55.21174733,-6.27610205,309787,441879,active
700000010440,Woodsides Corner,Coleraine,55.20919635,-6.2704153,310156,441604,active
700000010441,Leyland Road Upper,Coleraine,55.20489104,-6.26962806,310218,441126,active
700000010442,Leyland Cottages,Coleraine,55.20186769,-6.26044483,310811,440804,active
700000010443,Market Street,Coleraine,55.20148165,-6.25229398,311331,440774,active
700000010444,Leyland Cottages,Coleraine,55.20173213,-6.26038791,310815,440789,active
700000010445,Leyland Road Upper,Coleraine,55.20469738,-6.26927517,310241,441105,active
700000010446,Whitesides Corner,Coleraine,55.20823169,-6.27017436,310174,441497,active
700000010447,Carnduff Cottages,Coleraine,55.21169457,-6.27618289,309782,441873,active
700000010448,White Park Road,Coleraine,55.21469437,-6.28313942,309331,442196,active
700000010449,Kinbane Castle,Coleraine,55.21762353,-6.29085425,308832,442510,active
700000010451,Christies Corner,Coleraine,55.21973681,-6.31100348,307544,442714,active
700000010452,Whitepark Road Carrick A Rede,Coleraine,55.2358801,-6.33518898,305962,444474,active
700000010453,Carrick-a-Rede Rope Bridge,Coleraine,55.23702572,-6.35075192,304969,444578,active
700000010454,Main Street,Coleraine,55.23627899,-6.3566623,304595,444486,active
700000010455,Ballintoy Gospel Hall,Coleraine,55.23659209,-6.36123981,304303,444514,active
